Ligand (SMILES),Binding Energy (kcal/mol)
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](OCC)CCC2)C=C(C(O)=O)C1,-7.471
OC(C1=C[C@@H](N2C[C@@H](OCC)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,-7.708
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](NC(C)=O)CCC2)C=C(C(O)=O)C1,-8.603
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](NC(CC)=O)CCC2)C=C(C(O)=O)C1,-7.803
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](NC(CCC)=O)CCC2)C=C(C(O)=O)C1,-7.715
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](NC(OC)=O)CCC2)C=C(C(O)=O)C1,-7.964
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](NS(C)(=O)=O)CCC2)C=C(C(O)=O)C1,-8.264
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@H](NS(C)(=O)=O)CCC2)C=C(C(O)=O)C1,-8.357
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@H](OCC)CCC2)C=C(C(O)=O)C1,-7.542
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@H](NC(C)=O)CCC2)C=C(C(O)=O)C1,-7.83
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@H](NC(CC)=O)CCC2)C=C(C(O)=O)C1,-7.029
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](NS(CC)(=O)=O)CCC2)C=C(C(O)=O)C1,-7.683
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](NS(CCC)(=O)=O)CCC2)C=C(C(O)=O)C1,-7.895
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](NS(C(C)C)(=O)=O)CCC2)C=C(C(O)=O)C1,-7.327
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](NS(CC(F)(F)F)(=O)=O)CCC2)C=C(C(O)=O)C1,-7.605
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2CC(COC)CCC2)C=C(C(O)=O)C1,-6.916
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2CC(COCC)CCC2)C=C(C(O)=O)C1,-7.652
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](OC(NC(C)C)=O)CCC2)C=C(C(O)=O)C1,-8.35
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2C[C@@H](OC(NCC)=O)CCC2)C=C(C(O)=O)C1,-7.652
O=C(NCC)O[C@@H](CCC1)CN1[C@H]2[C@H](NC(C)=O)[C@@H](NC(N)=N)CC(C(O)=O)=C2,-8.033
O=C(NCCC)O[C@@H](CCC1)CN1[C@H]2[C@H](NC(C)=O)[C@@H](NC(N)=N)CC(C(O)=O)=C2,-7.638
O=C(NCC1=CC=CC=C1)O[C@@H](CCC2)CN2[C@H]3[C@H](NC(C)=O)[C@@H](NC(N)=N)CC(C(O)=O)=C3,-8.224
OC(C1=C[C@@H](N2C[C@H](OCC)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,-8.052
OC(C1=C[C@@H](N2C[C@@H](NS(C)(=O)=O)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,-7.674
OC(C1=C[C@@H](N2C[C@H](NS(C)(=O)=O)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,-8.986
OC(C1=C[C@@H](N2C[C@@H](NC(OC)=O)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,-8.335
OC(C1=C[C@@H](N2C[C@@H](NS(C3=CC=C(C)C=C3)(=O)=O)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,-8.668
OC(C1=C[C@@H](N2C[C@@H](NS(=O)(CCCC)=O)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,-7.491
OC(C1=C[C@@H](N2C[C@@H](NS(=O)(CCC)=O)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,-8.742
OC(C1=C[C@@H](N2C[C@@H](NS(=O)(C(C)C)=O)CCC2)[C@H](NC(C)=O)[C@@H](NC(N)=N)C1)=O,-7.952
NC(N[C@@H]1[C@@H](NC(C)=O)[C@H](N2CC(COC)CCC2)C=C(C(O)=O)C1)=N,-8.182
NC(N[C@@H]1[C@@H](NC(C)=O)[C@H](N2CC(COCC)CCC2)C=C(C(O)=O)C1)=N,-7.132
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2CCC(OC(NCC)=O)CCC2)C=C(C(O)=O)C1,-6.036
N[C@@H]1[C@@H](NC(C)=O)[C@H](N2CCC(O)CCC2)C=C(C(O)=O)C1,-6.114
CCNC(OC(CCC1)CCN1[C@H]2[C@H](NC(C)=O)[C@@H](NC(N)=N)CC(C(O)=O)=C2)=O,-6.627
O=C(NCCC)OC(CCC1)CCN1[C@H]2[C@H](NC(C)=O)[C@@H](NC(N)=N)CC(C(O)=O)=C2,-5.955
CC(C)NC(OC(CCC1)CCN1[C@H]2[C@H](NC(C)=O)[C@@H](NC(N)=N)CC(C(O)=O)=C2)=O,-6.509
O=C(NCC1=CC=CC=C1)OC(CCC2)CCN2[C@H]3[C@H](NC(C)=O)[C@@H](NC(N)=N)CC(C(O)=O)=C3,-7.698
OC(CCC1)CCN1[C@H]2[C@H](NC(C)=O)[C@@H](NC(N)=N)CC(C(O)=O)=C2,-6.683
